node1	label	node2
P10	data_type	string
P101	data_type	item
P102	data_type	item
P103	data_type	item
P105	data_type	item
P106	data_type	item
P108	data_type	item
P109	data_type	string
P110	data_type	item
P111	data_type	item
P112	data_type	item
P113	data_type	item
P114	data_type	item
P115	data_type	item
P117	data_type	string
P118	data_type	item
P119	data_type	item
P121	data_type	item
P122	data_type	item
P123	data_type	item
P126	data_type	item
P127	data_type	item
P128	data_type	item
P129	data_type	item
P131	data_type	item
P135	data_type	item
P136	data_type	item
P137	data_type	item
P138	data_type	item
P14	data_type	string
P140	data_type	item
P141	data_type	item
P143	data_type	item
P144	data_type	item
P149	data_type	item
P15	data_type	string
P150	data_type	item
P154	data_type	string
P155	data_type	item
P156	data_type	item
P157	data_type	item
P158	data_type	string
P159	data_type	item
P16	data_type	item
P161	data_type	item
P162	data_type	item
P163	data_type	item
P166	data_type	item
P167	data_type	item
P169	data_type	item
P17	data_type	item
P170	data_type	item
P171	data_type	item
P172	data_type	item
P175	data_type	item
P176	data_type	item
P177	data_type	item
P178	data_type	item
P179	data_type	item
P18	data_type	string
P180	data_type	item
P181	data_type	string
P183	data_type	item
P184	data_type	item
P185	data_type	item
P186	data_type	item
P189	data_type	item
P19	data_type	item
P190	data_type	item
P193	data_type	item
P194	data_type	item
P195	data_type	item
P196	data_type	item
P197	data_type	item
P199	data_type	item
P20	data_type	item
P200	data_type	item
P201	data_type	item
P205	data_type	item
P206	data_type	item
P207	data_type	string
P208	data_type	item
P209	data_type	item
P21	data_type	item
P210	data_type	item
P212	data_type	external-identifier
P213	data_type	external-identifier
P214	data_type	external-identifier
P215	data_type	string
P217	data_type	string
P218	data_type	external-identifier
P219	data_type	external-identifier
P22	data_type	item
P220	data_type	external-identifier
P221	data_type	external-identifier
P223	data_type	string
P225	data_type	string
P227	data_type	external-identifier
P229	data_type	string
P230	data_type	string
P231	data_type	external-identifier
P232	data_type	external-identifier
P233	data_type	string
P234	data_type	external-identifier
P235	data_type	external-identifier
P236	data_type	external-identifier
P237	data_type	item
P238	data_type	string
P239	data_type	string
P240	data_type	string
P241	data_type	item
P242	data_type	string
P243	data_type	external-identifier
P244	data_type	external-identifier
P245	data_type	external-identifier
P246	data_type	string
P247	data_type	external-identifier
P248	data_type	item
P249	data_type	string
P25	data_type	item
P26	data_type	item
P27	data_type	item
P30	data_type	item
P31	data_type	item
P35	data_type	item
P36	data_type	item
P37	data_type	item
P38	data_type	item
P39	data_type	item
P40	data_type	item
P41	data_type	string
P47	data_type	item
P50	data_type	item
P51	data_type	string
P53	data_type	item
P54	data_type	item
P57	data_type	item
P58	data_type	item
P59	data_type	item
P6	data_type	item
P61	data_type	item
P65	data_type	item
P66	data_type	item
P69	data_type	item
P78	data_type	item
P81	data_type	item
P84	data_type	item
P85	data_type	item
P86	data_type	item
P87	data_type	item
P88	data_type	item
P91	data_type	item
P92	data_type	item
P94	data_type	string
P97	data_type	item
P98	data_type	item
P1000	data_type	item
P1001	data_type	item
P1002	data_type	item
P1003	data_type	external-identifier
P1004	data_type	external-identifier
P1005	data_type	external-identifier
P1006	data_type	external-identifier
P1007	data_type	external-identifier
P1010	data_type	external-identifier
P1011	data_type	item
P1012	data_type	item
P1013	data_type	item
P1014	data_type	external-identifier
P1015	data_type	external-identifier
P1016	data_type	item
P1017	data_type	external-identifier
P1018	data_type	item
P1019	data_type	url
P1021	data_type	external-identifier
P1022	data_type	external-identifier
P1023	data_type	external-identifier
P1024	data_type	external-identifier
P1025	data_type	external-identifier
P1026	data_type	item
P1027	data_type	item
P1028	data_type	item
P1029	data_type	item
P1030	data_type	string
P1031	data_type	string
P1032	data_type	item
P1033	data_type	item
P1034	data_type	item
P1035	data_type	item
P1036	data_type	external-identifier
P1037	data_type	item
P1038	data_type	item
P1039	data_type	item
P1040	data_type	item
P1041	data_type	item
P1042	data_type	external-identifier
P1043	data_type	external-identifier
P1044	data_type	external-identifier
P1045	data_type	external-identifier
P1046	data_type	item
P1047	data_type	external-identifier
P1048	data_type	external-identifier
P1049	data_type	item
P1050	data_type	item
P1051	data_type	external-identifier
P1052	data_type	external-identifier
P1053	data_type	external-identifier
P1054	data_type	external-identifier
P1055	data_type	external-identifier
P1056	data_type	item
P1057	data_type	item
P1058	data_type	external-identifier
P1059	data_type	external-identifier
P1060	data_type	item
P1064	data_type	item
P1065	data_type	url
P1066	data_type	item
P1067	data_type	external-identifier
P1068	data_type	item
P1069	data_type	external-identifier
P1070	data_type	external-identifier
P1071	data_type	item
P1072	data_type	item
P1073	data_type	item
P1074	data_type	item
P1075	data_type	item
P1076	data_type	external-identifier
P1077	data_type	external-identifier
P1078	data_type	item
P1079	data_type	item
P1080	data_type	item
P1081	data_type	quantity
P1082	data_type	quantity
P1083	data_type	quantity
P1084	data_type	external-identifier
P1085	data_type	external-identifier
P1086	data_type	quantity
P1087	data_type	quantity
P1088	data_type	quantity
P1090	data_type	quantity
P1092	data_type	quantity
P1093	data_type	quantity
P1096	data_type	quantity
P1097	data_type	quantity
P1098	data_type	quantity
P1099	data_type	quantity
P1100	data_type	quantity
P1101	data_type	quantity
P1102	data_type	quantity
P1103	data_type	quantity
P1104	data_type	quantity
P1106	data_type	quantity
P1107	data_type	quantity
P1108	data_type	quantity
P1109	data_type	quantity
P1110	data_type	quantity
P1111	data_type	quantity
P1113	data_type	quantity
P1114	data_type	quantity
P1115	data_type	external-identifier
P1116	data_type	external-identifier
P1117	data_type	quantity
P1120	data_type	quantity
P1121	data_type	quantity
P1122	data_type	quantity
P1123	data_type	quantity
P1125	data_type	quantity
P1126	data_type	quantity
P1127	data_type	quantity
P1128	data_type	quantity
P1129	data_type	quantity
P1132	data_type	quantity
P1133	data_type	external-identifier
P1135	data_type	item
P1136	data_type	item
P1137	data_type	item
P1138	data_type	external-identifier
P1139	data_type	quantity
P1140	data_type	external-identifier
P1141	data_type	quantity
P1142	data_type	item
P1143	data_type	external-identifier
P1144	data_type	external-identifier
P1145	data_type	item
P1146	data_type	external-identifier
P1148	data_type	quantity
P1149	data_type	external-identifier
P1150	data_type	external-identifier
P1151	data_type	item
P1153	data_type	external-identifier
P1154	data_type	external-identifier
P1155	data_type	external-identifier
P1156	data_type	external-identifier
P1157	data_type	external-identifier
P1158	data_type	item
P1159	data_type	external-identifier
P1160	data_type	external-identifier
P1161	data_type	external-identifier
P1162	data_type	external-identifier
P1163	data_type	string
P1164	data_type	quantity
P1165	data_type	item
P1167	data_type	external-identifier
P1168	data_type	external-identifier
P1170	data_type	item
